lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
NA,NA,稲葉地保育園,310,愛知県名古屋市中村区稲葉地町3,411-9557,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,6ヶ月から5歳,延長保育,入所予約
NA,NA,日吉保育園,300,愛知県名古屋市中村区千成通3,482-1171,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,6ヶ月から5歳,延長保育,一時保育
35.174677,136.882893,永信保育園,110,愛知県名古屋市中村区名駅二丁目37,571-0924,私立,社会福祉法人,保育所,午前7時00分から午後8時00分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約
NA,NA,千成保育園,60,愛知県名古屋市中村区千成通5,482-1940,私立,社会福祉法人,保育所,午前7時30分から午後6時30分,産休あけから3歳,
NA,NA,中村保育園,286,愛知県名古屋市中村区中村町加藤屋敷3,482-4020,私立,社会福祉法人,保育所,午前7時00分から午後8時00分,産休あけから5歳,延長保育,子育て支援センター,入所予約,休日保育
35.155085,136.85025,並木保育園,100,愛知県名古屋市中村区並木一丁目23,411-2325,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,6ヶ月から5歳,延長保育
NA,NA,愛厚つみき保育園,30,愛知県名古屋市中村区道下町4,471-5516,私立,社会福祉法人,保育所,午前7時30分から午後6時30分,産休あけから2歳,
35.156461,136.863979,柳保育園,190,愛知県名古屋市中村区高須賀町24,471-7842,私立,宗教法人,保育所,午前7時45分から午後6時00分,8か月から5歳,
35.176605,136.876329,けやきの木保育園,130,愛知県名古屋市中村区亀島一丁目5,454-3733,私立,社会福祉法人,保育所,午前7時15分から午後8時15分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約
NA,NA,びわの実保育園,40,愛知県名古屋市中村区高道町6,486-7170,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,産休あけから3歳,延長保育
NA,NA,ゆめの樹保育園,60,愛知県名古屋市中村区日比津町3,462-9331,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育
35.148187,136.835415,たかなしの森保育園,60,愛知県名古屋市中村区横井一丁目129,462-1831,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,産休あけから5歳,延長保育
